totaal(deaths)	crew(deaths)	passenger(deaths)	ground(deaths)	notes(deaths)	type	incident	aircraft	location	phase	airport	distance	date
130	4	126	0	†	COM	TAAG Angola Airlines (D2-TBN)	Boeing 737-200	anlubLubango, Angola	ICL [nb 7]	SDD	1 km (0.6 mi)	11/8/1983
130	8	122	0		COM	Air France Flight 007	Boeing 707-328	frapParis, France	TOF [151]	ORY		6/3/1962
129	8	121	0		COM	Air China Flight 129	Boeing 767-2J6ER	soubBusan, South Korea	APR [152]	PUS	4.6 km (2.9 mi)	4/15/2002
129	4	0	125	†	COM	Flying Tiger Line (N228SW)	Canadair CL-44D4-1	vidDa Nang, Vietnam	APR [153]	DAD	c. 1 km (0.6 mi)	12/24/1966
129	7	122	0	†	MIL	US Air Force (51-0137)	Douglas C-124A-DL Globemaster II	jtaTachikawa, Japan	APR [154]	RJTC	5.6 km (3.5 mi)	6/18/1953
128	8	120	0	†	COM	Iran Air Flight 291	Boeing 727-86	iraaAlborz Mountains, Iran	APR [158]	THR	29 km (18 mi)	1/21/1980
128	11	117	0	†	COM	United Airlines Flight 718 and TWA Flight 2	Douglas DC-7 and Lockheed L-1049	usarGrand Canyon, Arizona, US	ENR [159][160] [161]			6/30/1956
128	7	75	46		INH	Xiamen Air Flight 8301, China Southwest Flight 2402, and China Southern (B-2812)	Boeing 737-247, Boeing 707-3J6B, and Boeing 757-21B	chingBaiyun District, Guangzhou, China	STD [155][156][157][nb 8]	***		10/2/1990
127	6	121	0	†	COM	Bhoja Air Flight 213	Boeing 737-236	pakiIslamabad, Pakistan	APR [162]	ISB	c. 2.5 km (1.6 mi)	4/20/2012
126	11	115	0		COM	ČSA Flight 542	Ilyushin Il-62	sydDamascus, Syria	APR [163]	DAM	17 km (11 mi)	8/20/1975
126	9	117	0		COM	Globe Air (HB-ITB)	Bristol Britannia 313	cyNicosia, Cyprus	APR [164]	NIC	3.5 km (2.2 mi)	4/20/1967
125	5	120	0		COM	Sibir (S7) Airlines Flight 778	Airbus A310-300	ruirIrkutsk, Russia	LDG [165]	IKT		7/9/2006
125	6	119	0		INH	Ethiopian Airlines Flight 961	Boeing 767-260ER	comgIndian Ocean, off Grande Comore, Comoros	APR [166]	HAH[nb 9]	0.5 km (0.3 ml)	11/23/1996
124	11	113	0	†	COM	BOAC Flight 911	Boeing 707-436	jgGotemba, Japan	ENR [168]			3/5/1966
124	9	115	1	†	COM	Baikal Air Flight 130	Tupolev Tu-154	ruirIrkutsk, Russia	ENR [167]			1/3/1994
123	6	117	0	†	COM	Faucett Flight 251	Boeing 737-222	pearArequipa, Peru	APR [169]	AQP	6.3 km (3.9 mi)	2/29/1996
123	7	116	0		COM	Varig Flight 820	Boeing 707-320C	frasSaulx-les-Chartreux, France	APR [170]	ORY	5 km (3.1 mi)	7/11/1973
123	12	111	0		COM	South African Airways Flight 228	Boeing 707-344C	NaWindhoek, Namibia	ICL [171]	WDH	5 km (3.1 mi)	4/20/1968
122	8	114	0	†	COM	Aeroflot Flight 964	Tupolev Tu-104B	rudoDomodedovo, Russia	APR [172]	DME	17 km (11 mi)	10/13/1973
122	7	115	0	†	COM	Aeroflot Flight 1491	Antonov An-10	ukrknear Kharkiv, Ukraine	APR [173]	HRK	24 km (15 mi)	5/18/1972
121	6	115	0	†	COM	Helios Airways Flight 522	Boeing 737-31S	gregGrammatiko, Greece	ENR [174]			8/14/2005
121	13	108	0		COM	Pakistan International Airlines Flight 705	Boeing 720 040B	egcNew Cairo, Egypt	APR [175]	CAI	c. 20 km (12 mi)	5/20/1965
120	0	0	0	†	COM	Aeroflot Flight 831 and Soviet Air Force An-12	Ilyushin Il-14M and Antonov An-12BP	ruporPoroslitsy, Yukhnovsky, Russia	ENR [176][177]			6/23/1969
119	12	107	0	†	COM	Iran Air Tours Flight 956	Tupolev Tu-154M	irasanear Sarab-e Dowreh, Iran	APR [178]	KHD	c. 46 km (29 mi)	2/12/2002
119	8	111	0	†	COM	TAME Ecuador (HC-BIG)	Boeing 737-200 Advanced	eccuCuenca, Ecuador	APR [179]	CUE	1.5 km (0.9 mi)	7/11/1983
118	9	109	0	†	COM	British European Airways Flight 548	Hawker Siddeley Trident 1C	unestaStaines, England, UK	ICL [183][184]	LHR	5.5 km (3.4 mi)	6/18/1972
118	7	111	0	†	COM	Trans-Canada Air Lines Flight 831	Douglas DC-8-54CF	canqsSainte-Thérèse, Quebec, Canada	ENR [185]			11/29/1963
118	8	106	4	†	COM	SAS Flight 686 and Private aircraft (D-IEVX)	McDonnell Douglas MD-87 and Cessna Citation CJ2	itmMilan, Italy	TXI [180][181] [182]	LIN		10/8/2001
117	6	111	0	†	COM	Bellview Airlines Flight 210	Boeing 737-2L9	nigerilnear Lagos, Nigeria	ENR [186]			10/22/2005
117	11	105	0	†	COM	Sudan Airways Flight 139	Boeing 737-200C	sudpPort Sudan, Sudan	APR [187]	PZU	5 km (3.1 mi)	7/8/2003
117	11	106	0	†	COM	Air India Flight 101	Boeing 707-437	framobMont Blanc massif, France	ENR [188]			1/24/1966
116	6	110	0	†	COM	Air Algérie Flight 5017	McDonnell Douglas MD-83	maligonear Gossi, Mali	ENR [189]			7/24/2014
116	8	108	0	†	COM	Avioimpex Flight 110	Yakovlev Yak-42D	repoOhrid, Republic of Macedonia	APR [190]	OHD	2 km (1.2 mi)	11/20/1993
115	7	108	0	†	COM	Alitalia Flight 112	McDonnell Douglas DC-8-43	itsiCinisi, Sicily, Italy	APR [192]	PMO	5 km (3.1 mi)	5/5/1972
115	11	104	0	†	INB	Korean Air Flight 858	Boeing 707-3B5C	burAndaman Sea, near Heinze Bok, Burma	ENR [191]			11/29/1987
114	6	108	0	†	COM	Kenya Airways Flight 507	Boeing 737-8AL	camdDouala, Cameroon	ENR [193]			5/5/2007
113	8	105	0	†	COM	Armavia Flight 967	Airbus A320-221	ruadBlack Sea, off Adler, Russia	APR [194]	AER	6 km (3.7 mi)	5/3/2006
113	14	99	0	†	COM	Thai Airways International Flight 311	Airbus A310-304	nelLangtang National Park, Nepal	ENR [197]			7/31/1992
